CHR	BP1	BP2	PRB	GEN	HWU_P	NWU_P	PWU_P	GEN_P
1	110197414	110203375	GI_19923637-S	GPR61	4.85E-01	2.99E-01	5.43E-01	0.8459052985
1	110206106	110253386	GI_5729849-S	GNAI3	2.92E-01	3.77E-01	2.78E-01	0.5456374563
1	110277359	110289620	GI_34147620-I	AMPD2	5.49E-01	1.48E-02	9.03E-01	0.6208783488
1	110313519	110322944	GI_23065556-I	GSTM4	1.66E-01	1.02E-01	4.18E-01	0.0370370392
1	110325465	110359901	GI_23065549-S	GSTM2	2.42E-01	1.16E-01	4.99E-01	0.0517096529
1	110339323	110346681	GI_22095383-S	RBM15	6.95E-01	4.21E-01	7.55E-01	0.7231751548
1	110642207	110681185	GI_21361646-S	AHCYL1	3.61E-01	7.97E-01	2.67E-01	0.3725360897
1	110653560	110675033	GI_25952081-S	KCNA3	1.54E-02	6.43E-01	1.50E-02	0.6702824195
1	110871199	110899936	GI_21237756-S	CD53	2.52E-01	6.22E-01	1.91E-01	0.1061580878
1	110877276	110964197	GI_31377732-S	LRIF1	7.80E-02	3.12E-02	1.40E-01	0.4724078317
1	110925985	111020750	GI_38201636-I	ST7L	4.11E-02	1.28E-03	1.15E-01	0.7113085509
1	110997290	111004648	GI_22095383-S	RBM15	1.19E-01	1.54E-03	6.12E-01	0.2968123138
1	111020785	111072609	GI_5453596-S	CAPZA1	7.81E-01	7.78E-01	6.54E-01	0.7520389056
1	111075302	111101735	GI_14211539-S	MOV10	7.99E-01	6.55E-01	7.28E-01	0.471956181
1	111102116	111108421	GI_34222243-S	RHOC	3.71E-01	8.24E-01	1.79E-01	0.6512821526
1	111111007	111116341	GI_39930532-S	PPM1J	2.30E-01	6.94E-01	1.41E-01	0.8303396448
1	111117332	111140216	GI_30425377-S	DRAM2	8.27E-01	8.36E-01	6.48E-01	0.261165107
1	111139627	111185104	GI_21735567-S	CEPT1	5.90E-02	2.74E-01	6.45E-02	0.5645179306
1	111185969	111204538	GI_34147689-S	DENND2D	3.18E-01	3.51E-02	9.77E-01	0.8537000767
1	111227659	111243440	GI_11993934-S	CHI3L2	1.27E-01	5.38E-01	7.23E-02	0.8823196084
1	111311311	111332784	GI_25952081-S	KCNA3	1.79E-01	6.29E-01	1.41E-01	0.7512070827
1	111313328	111357846	GI_19923752-S	SLC16A1	3.20E-02	7.87E-01	2.32E-02	0.3262094906
1	111414315	111427777	GI_31543362-S	OVGP1	7.85E-01	2.32E-01	9.17E-01	0.2601681571
1	111439890	111449208	GI_20127622-S	WDR77	5.74E-01	5.14E-01	5.07E-01	0.7452074979
1	111448845	111461918	GI_21361564-S	ATP5F1	2.46E-01	7.96E-01	1.39E-01	0.4346474222
1	111473867	111478512	GI_31341350-S	C1orf162	3.42E-01	2.21E-01	4.98E-01	0.2115439833
1	111474427	111526035	GI_7662319-S	LRIG2	3.19E-01	4.86E-02	9.18E-01	0.1641073053
1	111483348	111563977	GI_40254935-S	ADORA3	1.49E-03	1.01E-03	7.28E-03	0.1467788365
1	111483348	111563977	GI_6031156-S	ADORA3	5.28E-03	1.01E-03	3.65E-02	0.1740697918
1	111528958	111557705	GI_21237756-S	CD53	9.11E-03	6.84E-03	4.14E-02	0.0552407087
1	111604955	111621714	GI_31377732-S	LRIF1	3.34E-01	5.58E-01	2.89E-01	0.5328307239
1	111619783	111713479	GI_4506412-S	RAP1A	3.43E-01	9.75E-02	7.13E-01	0.169551542
1	111722064	111755797	GI_39545578-A	FAM212B	1.40E-01	2.24E-01	1.58E-01	0.2034220124
1	111755568	111767577	GI_14251211-S	DDX20	2.24E-01	6.32E-01	1.90E-01	0.0096291482
1	111775098	111797983	GI_30425377-S	DRAM2	4.04E-01	4.98E-01	3.82E-01	0.5363234306
1	111775809	111989530	GI_27436985-A	KCND3	6.62E-01	4.36E-01	6.69E-01	0.5777237645
1	111797394	111842864	GI_21735567-S	CEPT1	2.37E-01	6.20E-01	2.04E-01	0.8896631362
1	111843731	111862311	GI_34147689-S	DENND2D	2.76E-01	3.50E-01	2.68E-01	0.9371836411
1	111885420	111901199	GI_11993934-S	CHI3L2	8.02E-01	4.56E-01	8.52E-01	0.6011465626
1	112071958	112085420	GI_31543362-S	OVGP1	8.75E-01	4.68E-01	9.41E-01	0.0098980445
1	112097398	112159913	GI_5729975-S	PHTF1	2.52E-01	2.71E-01	2.80E-01	0.6387651908
1	112097521	112106839	GI_20127622-S	WDR77	5.80E-01	7.53E-01	3.56E-01	0.1811359347
1	112106752	112119548	GI_21361564-S	ATP5F1	3.02E-01	2.00E-01	3.83E-01	0.1952621819
1	112131612	112136141	GI_31341350-S	C1orf162	6.87E-01	3.39E-01	7.53E-01	0.7212854594
1	112140977	112221562	GI_40254935-S	ADORA3	1.26E-02	3.23E-01	1.48E-02	0.5472610459
1	112140977	112221562	GI_6031156-S	ADORA3	4.37E-01	3.23E-01	4.64E-01	0.2122458412
1	112162586	112213193	GI_38683850-S	RSBN1	7.16E-02	3.93E-01	7.62E-02	0.6486127891
1	112214556	112272493	GI_15619016-I	PTPN22	2.67E-01	3.91E-01	2.73E-01	0.3873924478
1	112277395	112371081	GI_4506412-S	RAP1A	7.14E-01	6.16E-01	6.15E-01	0.6977809966
1	112295487	112305866	GI_5729741-S	AP4B1	7.58E-01	2.06E-01	9.65E-01	0.6790657878
1	112306040	112314841	GI_24431998-S	DCLRE1B	7.95E-01	2.32E-01	9.74E-01	0.600106758
1	112330056	112378556	GI_38201637-I	HIPK1	6.87E-01	7.23E-01	5.41E-01	0.5214094304
1	112379672	112413403	GI_39545578-A	FAM212B	7.84E-01	3.44E-01	9.03E-01	0.1497774941
1	112380082	112382945	GI_9910269-S	OLFML3	3.26E-03	3.85E-01	1.78E-03	0.3022614827
1	112413174	112425184	GI_14251211-S	DDX20	4.12E-01	8.67E-01	2.37E-01	0.8281764832
1	112433439	112646758	GI_27436985-A	KCND3	8.84E-01	6.81E-01	8.93E-01	0.4889944872
1	112523518	112619418	GI_38201636-I	ST7L	3.75E-01	7.46E-01	2.42E-01	0.4724991572
1	112619453	112671619	GI_5453596-S	CAPZA1	5.14E-01	7.32E-01	3.49E-01	0.0545493666
1	112674312	112700753	GI_14211539-S	MOV10	2.35E-01	1.61E-01	3.08E-01	0.8003960846
1	112701127	112707403	GI_34222243-S	RHOC	2.38E-01	2.46E-01	2.72E-01	0.4917277025
1	112709994	112715328	GI_39930532-S	PPM1J	8.40E-01	6.83E-01	7.56E-01	0.4575742098
1	112793962	112912354	GI_14971410-A	TRIM33	8.63E-01	6.07E-01	8.66E-01	0.6226768756
1	112911847	112956353	GI_19923752-S	SLC16A1	5.62E-02	6.65E-01	2.63E-02	0.4610473091
1	112968613	112982698	GI_5031652-S	BCAS2	9.08E-01	6.85E-01	9.16E-01	0.3167778975
1	113073170	113125202	GI_7662319-S	LRIG2	4.24E-01	8.05E-02	7.59E-01	0.1000227533
1	113105559	113117974	GI_6006027-S	NRAS	2.74E-01	5.35E-02	5.86E-01	0.6528962491
1	113117993	113159121	GI_20070240-S	CSDE1	2.95E-01	4.25E-02	7.49E-01	0.0842727311
1	113180974	113276921	GI_38201636-I	ST7L	7.99E-02	6.73E-03	1.64E-01	0.3717213874
1	113276956	113329490	GI_5453596-S	CAPZA1	8.38E-01	5.65E-01	8.60E-01	0.6310099121
1	113332183	113358614	GI_14211539-S	MOV10	4.66E-01	6.42E-01	3.25E-01	0.9717734627
1	113358995	113365227	GI_34222243-S	RHOC	9.82E-01	9.64E-01	9.72E-01	0.2620635585
1	113367818	113373152	GI_39930532-S	PPM1J	9.45E-01	9.50E-01	8.25E-01	0.2209434146
1	113448926	113490447	GI_21264579-S	TSPAN2	9.21E-01	8.59E-01	7.76E-01	0.9550463467
1	113569526	113614046	GI_19923752-S	SLC16A1	3.94E-02	7.47E-01	2.06E-02	0.427169549
1	113686915	113739240	GI_4505390-S	NGF	9.14E-01	8.10E-01	8.33E-01	0.8088160081
1	113697202	113759538	GI_5729975-S	PHTF1	5.65E-01	7.92E-01	3.26E-01	0.6139369587
1	113731009	113782515	GI_7662319-S	LRIG2	8.30E-01	7.92E-01	6.95E-01	0.5459722381
1	113761832	113812448	GI_38683850-S	RSBN1	2.87E-01	4.87E-01	2.50E-01	0.7592418541
1	113813811	113871753	GI_15619016-I	PTPN22	4.12E-01	8.17E-01	2.97E-01	0.6625227641
1	113894748	113905119	GI_5729741-S	AP4B1	2.34E-01	8.21E-04	1.00E+00	0.7737086738
1	113905293	113914086	GI_24431998-S	DCLRE1B	8.93E-03	6.38E-04	3.95E-01	0.7694535919
1	113929197	113977869	GI_38201637-I	HIPK1	7.41E-02	8.68E-03	2.87E-01	0.3236991317
1	113979391	113982254	GI_9910269-S	OLFML3	1.57E-04	1.21E-03	1.83E-03	0.145542408
1	114236931	114241683	GI_5031944-S	NHLH2	4.12E-02	8.43E-01	2.82E-02	0.7992932889
1	114354665	114416622	GI_5729975-S	PHTF1	4.84E-01	4.78E-01	4.66E-01	0.5520277025
1	114392466	114470555	GI_24308160-S	SLC22A15	4.56E-01	5.74E-01	4.14E-01	0.5247717255
1	114392777	114511160	GI_14971410-A	TRIM33	5.23E-01	7.10E-01	4.30E-01	0.4572288522
1	114419296	114469915	GI_38683850-S	RSBN1	1.67E-01	5.41E-01	1.58E-01	0.474587214
1	114471278	114529225	GI_15619016-I	PTPN22	7.94E-01	8.76E-01	5.66E-01	0.6224880986
1	114552230	114562601	GI_5729741-S	AP4B1	6.42E-01	7.22E-01	4.88E-01	0.0629679653
1	114562775	114571568	GI_24431998-S	DCLRE1B	8.91E-01	7.18E-01	8.48E-01	0.3866824216
1	114567557	114581644	GI_5031652-S	BCAS2	9.25E-01	7.53E-01	8.93E-01	0.7514368367
1	114586835	114635335	GI_38201637-I	HIPK1	6.32E-01	1.78E-01	8.18E-01	0.3150041297
1	114636861	114639724	GI_9910269-S	OLFML3	8.82E-03	2.10E-02	2.22E-02	0.7836694138
1	114704464	114716894	GI_6006027-S	NRAS	2.65E-01	6.98E-01	1.80E-01	0.8518385569
1	114716913	114758050	GI_20070240-S	CSDE1	9.22E-01	7.90E-01	9.10E-01	0.3596157381
1	114773961	114805562	GI_34222360-S	ATP1A1	8.88E-01	5.66E-01	9.26E-01	0.4983343387
1	114916575	114973314	GI_4502676-S	CD58	1.98E-01	5.55E-02	9.12E-01	0.5015163325
1	114976619	115069496	GI_4504626-S	IGSF3	2.62E-01	1.27E-01	6.12E-01	0.799787962
1	115048011	115089500	GI_21264579-S	TSPAN2	3.70E-01	6.06E-02	9.38E-01	0.6080475801
1	115050539	115168646	GI_14971410-A	TRIM33	3.75E-01	7.71E-02	8.81E-01	0.0628582338
1	115156224	115170989	GI_31542293-S	CD2	1.49E-01	7.04E-02	4.99E-01	0.7409841318
1	115225038	115239118	GI_5031652-S	BCAS2	1.00E-01	1.89E-02	6.62E-01	0.8777644227
1	115285916	115338384	GI_4505390-S	NGF	5.48E-02	3.77E-02	2.83E-01	0.6612043906
1	115361892	115374317	GI_6006027-S	NRAS	9.64E-02	1.90E-02	7.43E-01	0.3682325103
1	115374336	115415479	GI_20070240-S	CSDE1	1.87E-01	5.97E-02	5.24E-01	0.6894391644
1	115403023	115437673	GI_4758589-S	CD101	1.87E-01	1.04E-01	3.34E-01	0.8398196498
1	115461465	115503489	GI_40807470-S	TTF2	8.56E-02	1.35E-02	5.92E-01	0.5844934485
1	115511675	115522408	GI_13376779-S	TRIM45	1.62E-02	1.13E-02	1.11E-01	0.1723648364
1	115705876	115747377	GI_21264579-S	TSPAN2	8.84E-01	3.57E-01	9.61E-01	0.8353971746
1	115836377	115841126	GI_5031944-S	NHLH2	1.54E-01	8.01E-01	9.39E-02	0.2033345689
1	115943440	115995752	GI_4505390-S	NGF	7.79E-01	1.36E-01	9.46E-01	0.4862481746
1	115976498	116070054	GI_24308160-S	SLC22A15	7.76E-02	1.58E-01	9.86E-02	0.6603606967
1	116005320	116027720	GI_38570094-S	FAM46C	3.03E-03	3.01E-03	2.47E-02	0.1641671839
1	116262529	116328723	GI_8923142-S	GDAP2	8.79E-01	6.47E-01	8.94E-01	0.4933711033
1	116372180	116404774	GI_34222360-S	ATP1A1	7.93E-01	7.26E-01	7.01E-01	0.1893695853
1	116493794	116498543	GI_5031944-S	NHLH2	6.59E-02	7.83E-01	3.98E-02	0.4784078541
1	116514534	116571093	GI_4502676-S	CD58	2.31E-01	6.71E-01	1.68E-01	0.101928788
1	116574398	116667755	GI_4504626-S	IGSF3	8.75E-01	8.77E-01	6.49E-01	0.7394187615
1	116633879	116727416	GI_24308160-S	SLC22A15	2.69E-01	5.72E-01	1.79E-01	0.5766064213
1	116754435	116769229	GI_31542293-S	CD2	8.88E-01	9.19E-01	6.43E-01	0.0816258035
1	117001750	117036551	GI_4758589-S	CD101	7.32E-01	4.98E-01	7.91E-01	0.5559981418
1	117030620	117062221	GI_34222360-S	ATP1A1	9.63E-01	9.18E-01	9.35E-01	0.0622327137
1	117060288	117102910	GI_40807470-S	TTF2	8.62E-01	9.60E-01	4.32E-01	0.3117332602
1	117111055	117121789	GI_13376779-S	TRIM45	7.59E-01	9.25E-01	3.95E-01	0.7301922326
1	117171988	117228583	GI_4502676-S	CD58	4.66E-01	5.48E-01	3.74E-01	0.856791252
1	117231888	117325242	GI_4504626-S	IGSF3	3.14E-01	5.37E-01	2.63E-01	0.4177517136
1	117411979	117426744	GI_31542293-S	CD2	8.12E-01	8.26E-01	5.63E-01	0.1691515067
1	117432899	117542355	GI_41352698-S	WARS2	6.74E-01	7.28E-01	4.78E-01	0.7692185968
1	117605982	117628389	GI_38570094-S	FAM46C	7.45E-01	8.20E-01	4.60E-01	0.8257423979
1	117659288	117694094	GI_4758589-S	CD101	4.73E-02	9.08E-02	6.98E-02	0.3058679227
1	117717868	117760384	GI_40807470-S	TTF2	5.90E-01	7.92E-01	3.86E-01	0.2427785921
1	117768560	117779290	GI_13376779-S	TRIM45	4.99E-01	8.14E-01	2.57E-01	0.3845154814
1	117863485	117929679	GI_8923142-S	GDAP2	8.22E-01	5.67E-01	8.59E-01	0.4601351315
1	118112949	118145389	GI_23308576-S	PHGDH	1.38E-01	1.49E-01	1.84E-01	0.5743927495
1	118195171	118212723	GI_36054181-S	REG4	3.69E-01	2.57E-01	4.23E-01	0.0278517297
1	118263625	118286026	GI_38570094-S	FAM46C	5.90E-01	4.87E-01	5.62E-01	0.7930652287
1	118312713	118398477	GI_24041034-S	NOTCH2	8.84E-01	7.44E-01	8.32E-01	0.1049353859
1	118521135	118587589	GI_8923142-S	GDAP2	2.84E-01	3.64E-01	2.34E-01	0.6630936219
1	119031216	119140788	GI_41352698-S	WARS2	8.43E-01	6.79E-01	8.18E-01	0.299971267
1	119377356	119381710	GI_44662822-S	HFE2	2.58E-01	8.27E-01	1.32E-01	0.4107699884
1	119402325	119406521	GI_5454161-S	TXNIP	6.38E-01	7.52E-01	4.45E-01	0.6252982622
1	119420102	119434231	GI_14150063-S	POLR3GL	4.95E-01	7.53E-01	2.96E-01	0.4751697593
1	119440829	119465359	GI_24308457-S	LIX1L	9.07E-02	6.65E-01	6.70E-02	0.0399225113
1	119471247	119477227	GI_15812217-S	RBM8A	2.98E-01	7.58E-01	2.12E-01	0.6508767388
1	119479859	119487437	GI_4505718-S	PEX11B	7.95E-01	6.93E-01	7.29E-01	0.3896763331
1	119512931	119532243	GI_24432064-S	ANKRD35	7.10E-01	6.28E-01	6.44E-01	0.0388225094
1	119539725	119550284	GI_31543399-S	PIAS3	1.03E-01	5.72E-01	9.41E-02	0.6057031214
1	119556179	119574446	GI_33859830-S	POLR3C	4.01E-01	7.72E-01	2.70E-01	0.303494635
1	119574552	119652775	GI_33859667-S	RNF115	8.31E-01	3.95E-01	9.18E-01	6.83766891591553E-005
1	119659599	119679439	GI_5901909-S	CD160	6.68E-01	7.12E-01	4.88E-01	0.4959794533
1	119689114	119798567	GI_41352698-S	WARS2	7.81E-01	7.57E-01	6.31E-01	0.1030026419
1	119691465	119728015	GI_34147647-S	PDZK1	8.58E-01	7.19E-01	8.10E-01	0.4426281989
1	119711796	119744226	GI_23308576-S	PHGDH	8.72E-01	7.73E-01	7.34E-01	0.9196419489
1	119750517	119751588	GI_7706703-S	GPR89B	7.77E-01	7.85E-01	5.86E-01	0.025360766
1	119794018	119811580	GI_36054181-S	REG4	6.55E-01	3.06E-01	7.73E-01	0.6377109126
1	119911553	120100748	GI_24041034-S	NOTCH2	8.53E-01	3.72E-01	9.54E-01	0.6866758229
1	120068389	120109734	GI_4503760-S	FMO5	7.03E-01	2.03E-01	9.53E-01	0.3470456679
1	120126695	120180299	GI_42734376-S	CHD1L	7.87E-01	7.92E-01	6.50E-01	0.3953519714
1	120155942	120176521	GI_34335289-S	SEC22B	6.13E-01	5.15E-01	5.77E-01	0.3790389871
1	120369927	120402393	GI_23308576-S	PHGDH	1.53E-01	5.44E-02	4.00E-01	0.5747693347
1	120426851	120511614	GI_4757845-S	BCL9	4.43E-01	5.63E-01	3.19E-01	0.7124952008
1	120452143	120469705	GI_36054181-S	REG4	7.98E-01	7.03E-01	6.47E-01	0.9222147351
1	120532766	120556091	GI_21359910-S	ACP6	3.20E-01	7.26E-01	2.44E-01	0.5245678226
1	120569670	120727793	GI_24041034-S	NOTCH2	8.45E-01	2.94E-01	9.48E-01	0.729096299
1	120641850	120658997	GI_32483411-I	GJA5	2.41E-01	2.50E-01	2.59E-01	0.6297835917
1	120814032	120834611	GI_34335289-S	SEC22B	5.34E-01	3.73E-01	4.99E-01	0.141061067
1	120818986	120827542	GI_41582235-S	NBPF11	1.00E+00	1.00E+00	1.00E+00	1
1	121205342	121205875	GI_21328454-S	HIST2H2AA3	7.67E-01	8.69E-01	4.26E-01	0.1908732111
1	121215051	121215446	GI_29553982-S	HIST2H4A	6.50E-01	8.12E-01	3.73E-01	0.8494341553
1	121236878	121239100	GI_22027639-S	HIST2H2BE	8.30E-01	8.62E-01	5.92E-01	0.5046916012
1	121239393	121239787	GI_27436923-S	HIST2H2AC	3.75E-01	8.50E-01	1.36E-01	0.831677301
1	121251639	121252832	GI_7705637-S	BOLA1	8.00E-01	8.04E-01	6.45E-01	0.2969964401
1	121255354	121269918	GI_7662271-S	SV2A	7.48E-01	6.42E-01	5.42E-01	0.9845590455
1	121275693	121280628	GI_23111059-S	SF3B4	5.34E-01	8.61E-01	1.94E-01	0.9510996012
1	121281027	121289275	GI_32490578-I	MTMR11	2.18E-01	8.18E-01	1.10E-01	0.5189212219
1	121419253	121497382	GI_18105062-S	VPS45	1.33E-01	1.33E-01	1.33E-01	0.1253490228
1	142506623	142533609	GI_4503758-S	FMO4	3.53E-01	6.66E-01	2.80E-01	0.2530659555
1	142678442	142785919	GI_38016902-S	PRRC2C	7.29E-01	7.37E-01	5.62E-01	0.7653226162
1	142893046	142935123	GI_42544206-A	VAMP4	7.29E-01	6.70E-01	6.19E-01	0.8847574953
1	143034379	143605830	GI_42544242-S	DNM3	2.74E-01	5.64E-01	2.54E-01	0.4302524214
1	144671177	144682637	GI_28559000-S	PRDX6	2.23E-01	4.45E-01	2.21E-01	0.4899404499
1	144908412	144980589	GI_40807499-S	KLHL20	4.24E-01	4.87E-01	4.06E-01	0.4856870404
1	145018544	145052684	GI_40806182-S	DARS2	3.19E-02	4.29E-01	3.41E-02	0.5522706114
1	145098064	145111634	GI_4502260-S	SERPINC1	8.24E-01	5.45E-01	8.36E-01	0.4788752973
1	145353606	146190781	GI_7662143-S	RABGAP1L	8.28E-01	6.51E-01	7.94E-01	0.1663490828
1	145670852	145707404	GI_34147647-S	PDZK1	8.34E-01	8.50E-01	6.25E-01	0.3438422009
1	145719446	145739288	GI_5901909-S	CD160	8.68E-01	7.10E-01	8.31E-01	0.9012012813
1	145746082	145824123	GI_33859667-S	RNF115	5.49E-01	7.75E-01	2.50E-01	0.4754797009
1	145789512	145827590	GI_31341145-S	NBPF15	5.14E-01	7.49E-01	2.63E-01	0.6186632949
1	145824141	145842505	GI_33859830-S	POLR3C	1.61E-01	7.61E-01	6.68E-02	0.8727502559
1	145992435	145996631	GI_5454161-S	TXNIP	4.45E-01	6.18E-01	3.67E-01	0.1307292276
1	146352413	146388494	GI_7657258-S	KIAA0040	7.87E-02	7.99E-02	1.48E-01	0.2243943251
1	147038978	147075526	GI_34147647-S	PDZK1	4.72E-01	6.94E-01	3.17E-01	0.1671578531
1	147087572	147107414	GI_5901909-S	CD160	5.43E-01	4.17E-01	5.41E-01	0.0852998603
1	147114208	147192249	GI_33859667-S	RNF115	8.05E-01	4.84E-01	8.49E-01	0.5577977705
1	147140659	147403110	GI_21359962-S	RFWD2	8.36E-01	4.15E-01	8.94E-01	0.3167207697
1	147172804	147295766	GI_42734376-S	CHD1L	4.30E-01	4.06E-01	4.27E-01	0.003786612
1	147184305	147225798	GI_4503760-S	FMO5	8.30E-01	6.18E-01	8.30E-01	0.3775078162
1	147192355	147210631	GI_33859830-S	POLR3C	5.14E-01	6.77E-01	4.12E-01	0.8677988219
1	147216648	147227207	GI_31543399-S	PIAS3	3.00E-01	6.98E-01	2.26E-01	0.1440182486
1	147234686	147253992	GI_24432064-S	ANKRD35	5.55E-01	5.40E-01	5.00E-01	0.6461833895
1	147279474	147287050	GI_4505718-S	PEX11B	3.41E-01	8.97E-02	8.64E-01	0.8563517417
1	147289682	147295662	GI_15812217-S	RBM8A	3.41E-01	2.22E-01	4.78E-01	0.2329695757
1	147301550	147326145	GI_24308457-S	LIX1L	5.15E-01	5.72E-01	3.70E-01	0.7574917638
1	147332829	147346974	GI_14150063-S	POLR3GL	5.18E-01	6.31E-01	3.93E-01	0.8778390005
1	147360561	147364757	GI_5454161-S	TXNIP	6.83E-01	5.95E-01	5.62E-01	0.8981367783
1	147385594	147389948	GI_44662822-S	HFE2	6.72E-01	4.79E-01	6.62E-01	0.6600554216
1	147520034	147597158	GI_44917616-S	NOTCH2NL	8.84E-01	8.07E-01	7.35E-01	0.3401892508
1	147541401	147626219	GI_4757845-S	BCL9	8.09E-01	8.43E-01	7.21E-01	0.1795684289
1	147658586	148038306	GI_23097298-I	PAPPA2	7.25E-01	3.83E-01	7.78E-01	0.7530001714
1	147756199	147781054	GI_32483411-I	GJA5	7.52E-02	1.51E-01	9.59E-02	0.0545956287
1	148552431	148593764	GI_4503760-S	FMO5	8.22E-01	6.32E-01	8.00E-01	0.4004222323
1	148909627	148994345	GI_4757845-S	BCL9	4.82E-01	5.66E-01	4.27E-01	0.2390011191
1	149015492	149038638	GI_21359910-S	ACP6	6.96E-01	8.21E-01	4.77E-01	0.2390530661
1	149124325	149141488	GI_32483411-I	GJA5	3.58E-01	2.02E-01	4.96E-01	0.4863540093
1	149125532	149166504	GI_14916476-S	SEC16B	4.45E-01	1.84E-01	6.26E-01	0.3112128857
1	149290237	149676448	GI_25121935-I	RASAL2	6.83E-01	8.29E-01	4.94E-01	0.1923382729
1	149296519	149361647	GI_7706703-S	GPR89B	5.85E-01	5.86E-01	5.29E-01	0.1431121648
1	149782677	149792518	GI_24431940-S	FCGR1A	9.07E-01	8.42E-01	9.17E-01	0.090480268
1	149832657	149833052	GI_29553982-S	HIST2H4A	7.58E-01	8.91E-01	1.23E-01	2
1	149842218	149842751	GI_21328454-S	HIST2H2AA3	6.17E-01	8.03E-01	1.70E-01	0.91422864
1	149884460	149886682	GI_22027639-S	HIST2H2BE	1.11E-01	8.02E-01	4.04E-02	0.9208160983
1	149886975	149887411	GI_27436923-S	HIST2H2AC	6.03E-01	8.11E-01	3.27E-01	0.6643208344
1	149899557	149900795	GI_7705637-S	BOLA1	7.87E-01	7.00E-01	8.58E-01	0.3536278399
1	149903318	149917882	GI_7662271-S	SV2A	8.88E-01	7.96E-01	8.45E-01	0.2704787561
1	149922341	150118584	GI_32441282-I	RALGPS2	6.08E-01	6.02E-01	5.26E-01	0.1223516014
1	149923317	149929322	GI_23111059-S	SF3B4	8.72E-01	8.36E-01	8.00E-01	0.6305481541
1	149928651	149936898	GI_32490578-I	MTMR11	1.80E-01	7.71E-01	6.65E-02	0.6761838093
1	150067293	150145327	GI_18105062-S	VPS45	5.96E-01	5.28E-01	4.68E-01	0.9484040002
1	150149980	150159630	GI_21361610-S	PLEKHO1	6.14E-01	6.40E-01	4.29E-01	0.3100538695
1	150222685	150273286	GI_41281529-S	FAM20B	6.46E-01	7.41E-01	4.92E-01	0.8285605882
1	150265399	150269209	GI_7705786-S	APH1A	7.09E-02	8.02E-01	4.20E-02	0.7063307373
1	150272284	150280924	GI_13375757-S	C1orf54	5.88E-01	7.16E-01	4.15E-01	0.5511813761
1	150278689	150292698	GI_31543816-S	TOR3A	4.80E-01	7.66E-01	2.97E-01	0.5524815804
1	150293842	150308979	GI_16950592-I	MRPS21	2.83E-02	8.48E-01	1.12E-02	0.0146649841
1	150293842	150308979	GI_34304320-A	MRPS21	5.67E-01	8.48E-01	3.35E-01	0.7800143274
1	150321479	150353228	GI_4758555-S	PRPF3	8.78E-01	7.36E-01	8.17E-01	0.0636694137
1	150364148	150476566	GI_45433544-S	RPRD2	2.96E-01	6.66E-01	1.94E-01	0.0925193887
1	150487364	150507609	GI_39725684-S	TARS2	9.31E-01	7.79E-01	9.20E-01	0.7002018202
1	150490026	150555022	GI_24431944-S	SOAT1	7.87E-01	7.48E-01	6.76E-01	0.4132708238
1	150508011	150513789	GI_12707564-I	ECM1	9.48E-01	8.56E-01	9.32E-01	0.5163963156
1	150508011	150513789	GI_12707571-A	ECM1	9.54E-01	8.56E-01	9.43E-01	0.3553174016
1	150549369	150560937	GI_38016903-S	ADAMTSL4	5.32E-02	7.38E-01	3.97E-02	0.7215481658
1	150549369	150560937	GI_13376526-S	ADAMTSL4	8.24E-01	7.38E-01	7.33E-01	0.2112291385
1	150574551	150579738	GI_33519457-A	MCL1	7.42E-01	3.32E-01	8.56E-01	0.7420918336
1	150574551	150579738	GI_33519459-I	MCL1	7.70E-01	3.32E-01	9.05E-01	0.1700221944
1	150622123	150629622	GI_4758271-S	ENSA	1.74E-01	1.92E-01	2.09E-01	0.8466598179
1	150646225	150697196	GI_29826327-S	GOLPH3L	3.98E-01	2.88E-01	4.30E-01	0.5150070561
1	150730196	150765957	GI_23110961-S	CTSS	5.89E-01	3.29E-01	6.29E-01	0.0923510089
1	150796208	150808441	GI_23110958-S	CTSK	3.61E-01	1.33E-01	4.98E-01	0.000071351
1	150926339	150964913	GI_41281392-S	SETDB1	4.21E-01	8.30E-01	2.39E-01	0.018981163
1	150996737	151008378	GI_31377840-S	FAM63A	3.68E-01	9.59E-01	1.05E-01	0.0632167503
1	151008391	151035713	GI_24308262-S	PRUNE	3.35E-01	9.69E-01	5.65E-02	0.2640704995
1	151036553	151047600	GI_19923079-I	BNIPL	6.58E-01	9.66E-01	1.81E-01	0.039554139
1	151040947	151078786	GI_21450774-S	TOR1AIP2	9.72E-01	9.55E-01	9.21E-01	0.2390127073
1	151046979	151051420	GI_34147608-S	C1orf56	9.86E-01	9.62E-01	9.53E-01	0.6925025599
1	151050971	151059649	GI_12965169-S	CDC42SE1	9.03E-02	9.15E-01	9.06E-03	0.1437468142
1	151059675	151068497	GI_21626459-S	MLLT11	4.10E-01	9.41E-01	1.07E-01	0.9278151498
1	151070311	151118531	GI_21389426-S	GABPB2	1.85E-01	9.64E-01	2.75E-02	0.5927931436
1	151083015	151120943	GI_39753956-S	TOR1AIP1	1.37E-01	9.57E-01	2.12E-02	0.028375598
1	151131685	151146670	GI_16306551-S	SEMA6C	9.34E-02	9.06E-01	2.24E-02	0.6747884128
1	151150820	151160644	GI_24431940-S	FCGR1A	8.18E-01	5.42E-01	8.40E-01	0.2807229271
1	151155643	151315694	GI_18378734-S	CEP350	6.20E-01	6.16E-01	5.09E-01	0.7731833013
